id,created_at,text
1093888107668295680,2019-02-08 15:03:42,"@Eneidafarias4 Olha aqui @falanext, esse é o atendimento diferenciado de vocês? A qualidade Next."
1093889584210022401,2019-02-08 15:09:35,@falanext vocês vão resolver meu problema ou não?
1093894447983706124,2019-02-08 15:28:54,@falanext Fiz um depósito dia 06/02 e até agora não apareceu no aplicativo! Depósito em dinheiro e em um representante Bradesco!
1093895493544038400,2019-02-08 15:33:03,@falanext quando é que vão ajustar o atendimento pelo chat? E parar de fazer o cliente perder tempo???
1093897121093373952,2019-02-08 15:39:31,"Estou indignada,  esse pessoal da @falanext não resolve nada, na hora de fazer o cartão  prometem o céu e a terra,… https://t.co/2NGc6bQfuQ"
1093897142262001671,2019-02-08 15:39:36,@falanext Obrigada!
1093901891275247624,2019-02-08 15:58:29,@falanext o cartão Next possui Saque no Exterior na Função Débito
1093903251920039936,2019-02-08 16:03:53,"Alo @falanext preciso do retorno sobre a abertura da conta, por favor"
1093904195835580417,2019-02-08 16:07:38,@falanext Sugestão quero que um dia os cartões next possuir a função crediario igual ao do Bradesco que vc pode par… https://t.co/2hqKJ8Z11R
1093908861491339269,2019-02-08 16:26:11,"@falanext Não, mas as teclas não aparecem. A tela fica preta."
1093909734644740096,2019-02-08 16:29:39,@falanext Estou tentando me comunicar no chat tem três dias e ninguém responde
1093911125773701122,2019-02-08 16:35:10,"@falanext Eu estou no procon e espero que resolva, pq eu cansei"
1093913541004980225,2019-02-08 16:44:46,"@falanext Não faça cartões Next, só Deus sabe o que estou passando por causa da incompetência desse banco."
1093915578501345280,2019-02-08 16:52:52,@Vaneferreiratss @falanext Por favor. Não faça isso.
1093915777865003014,2019-02-08 16:53:40,"@Aelcio_stos @falanext Por favor, não abra conta com eles."
1093916178731409408,2019-02-08 16:55:15,"@randal_cilo @falanext Por favor, não abra conta com a next."
1093916185559740417,2019-02-08 16:55:17,@LollapaloozaBr @Bradesco @falanext ola eu queria saber mais detalhes de como chegar
1093916400962412544,2019-02-08 16:56:08,"@enfoderada @falanext Por favor, desista enquanto ainda dá tempo. Pior banco digital da história. Só estresse,"
1093916715120017409,2019-02-08 16:57:23,"@lorrany_lsn @falanext SRN. Por favor, não abra conta com a next. Vc só vai passar raiva. O atendimento deles simplesmente é inexistente."
1093917276477313024,2019-02-08 16:59:37,"@itsdhiogo21 @falanext Cara, fuja. Depois que vc abre e precisa de uma atendimento para qq coisa, eles simplesmente… https://t.co/VNbKnFs0HT"
1093917758813888512,2019-02-08 17:01:32,"@TheHungerBooks @falanext Oi, como vc fez para ser atendida? Eu fico o dia inteiro no chat e não consigo falar com… https://t.co/owdgTASNAl"
1093917936501383169,2019-02-08 17:02:14,@falanext oi gente queria saber pq DIABOS vcs me pedem p entrar em contato se NENHUMA assistência de vocês funciona????
1093918622181933063,2019-02-08 17:04:58,@LollapaloozaBr @Bradesco @falanext como faço pra ganhar um ingresso grátis?
1093918678440206338,2019-02-08 17:05:11,@goregoregirl @falanext Por favor. Não abra essa conta. O banco só funcionar pelo app e vc não consegue fazer nada… https://t.co/sCPYcsTbbe
1093918832601763840,2019-02-08 17:05:48,@falanext DM
1093918861827674114,2019-02-08 17:05:55,Obrigado novamente @falanext pela dedicação https://t.co/TuDrHaQ4pt
1093920456699187200,2019-02-08 17:12:15,"@falanext tem como eu pedir uma análise de crédito? Estou precisando, por favor ."
1093921540591288321,2019-02-08 17:16:34,@falanext o serviço tá fora do ar de novo! Preciso fazer uma transferência ainda hoje
1093933813753880576,2019-02-08 18:05:20,@falanext https://t.co/7GH1sX2L0a
1093935605262807041,2019-02-08 18:12:27,"Qual problema de vocês, @falanext? Já tentei pelo chat, meu Deus! https://t.co/Wqxv30flsV"
1093937305373630464,2019-02-08 18:19:12,@falanext Vou enviar uma DM
1093937332452032512,2019-02-08 18:19:19,"@falanext @FestivalPath Quanto tempo ,leva pra abrir a conta 
Já tem uma semana"
1093942705749671936,2019-02-08 18:40:40,Um mês para abrir uma conta no @falanext. Por isso sou mais nubank.
1093943462909693952,2019-02-08 18:43:40,@falanext dm :)
1093943618790928384,2019-02-08 18:44:17,Só queria que meu cartão da @falanext chegasse
1093946145582317571,2019-02-08 18:54:20,"Alo @falanext 
Muito show sua central de relacionamento que ta tocando uma musica muito massa na linha desde que ap… https://t.co/ywxeeXyKYt"
1093947326878629889,2019-02-08 18:59:01,@falanext Mandei no privado
1093947603463651329,2019-02-08 19:00:07,"@falanext Quero cancelar minha conta, pode ajudar-me?"
1093948605654806529,2019-02-08 19:04:06,"@iKill_ @falanext Dia 10 ou 11 de jan pedi cancelamento de uma compra deles, o pacote chegou e no dia seguinte envi… https://t.co/fDnsXEUGTl"
1093950447688273920,2019-02-08 19:11:26,@falanext O que seria uma caixa eletrônico de depósito imediato? Eu fui num caixa eletrônico normal. Os que ficam na agência!
1093953294240833536,2019-02-08 19:22:44,"@falanext eu queria abrir conta com vcs, ai no app fala que não precisa mandar foto do comprovante de endereço se e… https://t.co/oggktuLS6K"
1093953460729511937,2019-02-08 19:23:24,@falanext Ontem de manhã
1093953558796517377,2019-02-08 19:23:47,"@falanext meu celular esta com problemas, levei pra assistência téc. como faço para realizar minhas transações na c… https://t.co/5S6zuhtYTf"
1093954992413777923,2019-02-08 19:29:29,@falanext dm
1093960792838414336,2019-02-08 19:52:32,@falanext Ok!
1093963764288929792,2019-02-08 20:04:20,"Ontem liguei para o @falanext e fiquei 10 min tentando pedir um mísero comprovantes, depois de dois dias tentando p… https://t.co/xfOUkY5yX2"
1093966213955375104,2019-02-08 20:14:04,@falanext qual a média de tempo pra vcs analisarem um cadastro? E pq está demorando tanto comigo? :(
1093967869048692741,2019-02-08 20:20:39,"@falanext Muito bom.
Fiquei 2 horas no telefone esperando pra ser atendido viu @falanext porque a linda da Bia do… https://t.co/U0GlLCu0ON"
1093976721945182209,2019-02-08 20:55:50,@falanext Me segue Ai
1093978064164450308,2019-02-08 21:01:10,@falanext O serviço que eu preciso é um atendimento rápido e eficiente que não seja iniciado com uma bot de IA retardada
1093982071763152896,2019-02-08 21:17:05,"@falanext terei que te cancelar, sorry."
1093982309538283526,2019-02-08 21:18:02,rapaz sem condições a atendente virtual do @falanext não entende o que você fala dai ce manda um e-mail eles dizem… https://t.co/LsQFnIkh60
1093984697175158786,2019-02-08 21:27:31,@falanext Já chamei
1093994862037426176,2019-02-08 22:07:55,@sauloscunha @Amjacquez @falanext Isso mesmo. Queria outra carteira
1094007252388843528,2019-02-08 22:57:09,Vcs tbm são ignorados pelo atendimento do Next? Pq o meu namorado deve estar batendo recorde de espera… https://t.co/2Eegi8fWLF
1094007692576858112,2019-02-08 22:58:54,@falanext Quase uma semana!!! #vemproNext #vercomoéruim
1094010342395600899,2019-02-08 23:09:26,@falanext DM
